id,eng_name,malay_name,family
83,Averrhoa carambola L.,Belimbing (Malay),
84,Averrhoa bilimbi L.,Belimbing asam (Malay),
85,Baccaurea angulata Merr.,"Belimbing hutan (Malay), Popotung (Dusun), Uchung (Iban)",
86,Guioa diplopetala (Hassk.) Radlk.,"Belimbing talun, Kayu lulus (Tidong)",
87,Lepisanthes fruticosa (Roxb.) Leenh.,"Belingasan (Kedayan), Tamud amud (Dusun)",
88,Mallotus leucodermis Hook.f.,Belitik (Iban),
89,Mangifera caesia Jack,"Beluno (Malay), Bundu (Kadazan & Dusun)",
90,Porterandia anisophylla (Jack ex Roxb.) Ridl.,Bembalor?,
91,Croton heterocarpus Müll.,Benadak,
92,Maranthes corymbosa Blume,Bengkawang (Dusun),
93,Morinda citrifolia L.,Bengkudu/ Mengkudu (Malay),
94,Macaranga hulletii King ex Hook.f.,Benua buren/Manua (Kelabit),
95,Castanopsis costata (Blume) A.DC.,Berangan (Malay),
96,Castanopsis densinervia Soepadmo,Berangan (Malay),
97,Castanopsis endertii Hatus ex Soepadmo,Berangan (Malay),
98,Castanopsis megacarpa Gamble,Berangan (Malay),
99,Castanopsis oligoneura Soepadmo,Berangan (Malay),
100,Castanopsis oviformis Soepadmo,Berangan (Malay),
101,Castanopsis paucispina Soepadmo,Berangan (Malay),
102,Castanopsis acuminatissima (Blume) A.DC.,"Berangan (Malay), Berangan landak (Iban)",
103,Castanopsis fulva Gamble,"Berangan (Malay), Berangan padi (Iban)",
104,Castanopsis borneensis King,"Berangan (Malay), Berangan padi/Berangan mayau (Iban)",
105,Castanopsis javanica (Blume) A. DC.,"Berangan (Malay), Kupat (Kelabit)",
106,Castanopsis foxworthyi Schottky,"Berangan paya (Malay), Berangan lingkau",
107,Lepisanthes rubiginosa (Roxb.) Leenh.,Berebegon/ Damai (Dusun),
108,Osmelia philippina (Turcz.) Benth.,Bernai (Malay),
109,Baeckea frutescens L.,Berungis,
110,Ctenolophon parvifolius Oliv.,Besi-besi/ Obah (Dusun),
111,Bruguiera cylindrica (L.) Blume,Beus (Malay),
112,Mastixia cuspidata Blume,"Biansu gunong (Iban, Sarawak)",
113,Gonystylus bancanus (Miq.) Kurz,Bidaru (Malay),
114,Gonystylus stenosepalus Airy Shaw,Bidaru (Malay),
115,Bhesa paniculata Arn.,Biku-biku (Malay),
116,Popowia pisocarpa (Blume) Endl. ex Walp,Binitan (Dusun),
117,Calophyllum blancoi Planch. & Triana,Bintangor,
118,Calophyllum depressinervosum M.R.Hend. & Wyatt-Sm.,Bintangor,
119,Calophyllum canum Hook.f.,Bintangor (Malay),
120,Calophyllum coriaceum M.R.Hend. & Wyatt-Sm.,Bintangor (Malay),
121,Calophyllum garcinioides P.F.Stevens,Bintangor (Malay),
122,Calophyllum gracilipes Merr.,Bintangor (Malay),
123,Calophyllum griseum P.F.Stevens,Bintangor (Malay),
124,Calophyllum havilandii P.F.Stevens,Bintangor (Malay),
125,Calophyllum hosei Ridl.,Bintangor (Malay),
126,Calophyllum obliquinervium Merr.,Bintangor (Malay),
127,Calophyllum sakarium P.F.Stevens,Bintangor (Malay),
128,Calophyllum nodosum Vesque,"Bintangor (Malay), Bata'or (Kelabit)",
129,Calophyllum biflorum Hend. & Wyatt-Smith,"Bintangor (Malay), Senaga (Iban)",
130,Kayea macrantha Baill.,Bintangor Batu,
131,Mesua macrantha (Baill.) Kosterm.,Bintangor batu (Malay),
132,Mesua borneensis* ?,Bintangor Batu (Malay),
133,Mesua sclarinervosa* ?,Bintangor Batu (Malay),
134,Calophyllum macrocarpum Hook.f.,"Bintangor Bukit (Malay), Angkung/Bunut (Iban)",
135,Calophyllum venulosum Zoll.,Bintangor Kuning/ Bintangor Bukit (Malay),
136,"Calophyllum calaba var. bracteatum (Wight) P.F.Stevens
(syn = Calophyllum teysmannii Zoll. ex Planch. & Triana)","Bintangor Paya (Malay), Senaga burak/Senaga mansau (Iban)",
137,Mesua connata*?,Bintangor/ Manggis Hantu (Malay),
138,Trema tomentosa (Roxb.) Hara,"Bintanong (Murut), Balik angin (Malay), Betanung (Kelabit)",
139,Octomeles sumatrana Miq.,Binuang (Malay),
140,"Radermachera pinnata (Blanco) Seem.
(syn = Radermachera pinnata (Blanco) Seemen subsp. acuminata (Steenis) Steenis)","Binutan/ Kujuk langit (Kapuas Dayak, Sarawak)",
141,Fagraea montana K.M.Wong & Sugau,"Bira parak (Kelabit, Sarawak)",
142,Allophylus cobbe (L.) Raeuschel,"Bonbongan (Murut), Embuakat (Dusun)",
143,Pseuduvaria reticulata Miq.,Boyoi (Malay),
144,Bertholletia excelsa O.Berg,Brazil nut (English),
145,Annona squamosa L.,"Buah nona (Malay), Seri kaya (Malay)",
146,Nephelium maingayi Hiern,"Buah sungkit (Kedayan), Kolomundui (Kadazan), Mujau (Iban)",
147,Teijsmanniodendron holophyllum (Baker) Kosterm.,Buak-buak batu,
148,Teijsmanniodendron pteropodum Bakh.,Buak-buak jari itik,
149,Teijsmanniodendron glabrum Merr.,Buak buak,
150,Neo-uvaria accuminatissima (Miq.) Airy Shaw,Buan,
151,Chionanthus pluriflorus (Knobl.) Kiew,Bukar (Murut),
152,Castanopsis evansii Elmer,"Buling/ Kumpat (Dusun), Berangan maias/Berangan mayau/Berangan tunggal (Iban)",
153,"Urophyllum sandahanicum (Bremek.) Smedmark & B.Bremer
(syn = Pleiocarpidia sandahanica Bremekamp)","Buloh-buloh?, Kalawan",
154,"Lasianthus tomentosus Blume
(syn = Lasianthus chryseus Ridl.)",Buloh buloh,
155,"Agathis borneensis Warb. 
(syn = Agathis endertii Meijer Drees)","Bulok (Iban, Sarawak)",
156,Agathis orbicula de Laub.,"Bulok (Iban, Sarawak)",
157,Gynotroches axillaris Blume,"Bulu bulu (Malay), Kendis watu (Dusun)",
158,Cananga odorata (Lam.) Hook.f. & Thomson,"Bunga gadang (Malay), Andarusan (Banggi)",
159,Lagerstroemia piriformis Koehne,Bungor (Malay),
160,Mangifera torquenda Kosterm.,"Buniton (Murut), Kayu laam (Kelabit), Kemantan (Iban)",
161,"Microcos antidesmifolia (King) Burret
(syn = Grewia antidesmifolia King)",Bunsi (Iban),
162,Aglaia foveolata C.M.Parnell,Bunya (Iban),
163,Artocarpus primackiana Kochummen,Burini (Dusun),
