id,eng_name,malay_name,family
356,Archidendron clypearia (Jack.) I. Nielsen,Kararuh (Kelabit),
357,Hydnocarpus woodii Merr.,Karpus / Sinumpul,
358,Hydnocarpus borneensis Sleumer,Karpus tulangsai; Empupuak (Dusun),
359,Prainea limpato (Miq.) Beumee ex Heyne,"Kasusur aboi (Dusun), Kayu susu (Malay)",
360,Cynometra mirabilis Meeuwen,Katong-katong (Malay),
361,Cynometra ramiflora var. ramiflora L.,Katong-katong (Malay),
362,Shorea amplexicaulis P.S.Ashton,"Kawang bukit (Malay), langgai (Iban)",
363,Shorea pilosa P.S.Ashton,Kawang bulu (Malay),
364,Shorea mecistopteryx Ridl.,"Kawang burung (Malay), Kawang tikus (Malay)",
365,Shorea macrophylla (de Vriese) P.S.Ashton,Kawang jantung (Malay),
366,Shorea pinanga Scheff.,Kawang pinang (Malay),
367,Shorea acuta P.S.Ashton,"Kawang tikus (Iban, Sarawak)",
368,Parastemon grandifructus Prance,"Kayu ajung, Mandailas (Dusun)",
369,Symplocos cochinchinensis subsp. cochinchinensis (Lour.) S.Moore,Kayu ara (Bajau?),
370,Ficus callosa Willd.,Kayu ara (Malay),
371,Ficus microcarpa L.f.,Kayu ara (Malay),
372,Ficus xylophylla Wall. ex Miq.,Kayu ara (Malay),
373,Ficus benjamina L.,"Kayu ara (Malay), Beringin",
374,Podocarpus rumphii Blume,Kayu cina,
375,Ilex nervulosa (Loes.) S.Andrews,Kayu djung,
376,Chaetocarpus castanocarpus (Roxb.) Thwaites,Kayu dusun,
377,"Agrostistachys borneensis Becc.
(syn = Agrostistachys longifolia (Wight) Benth.)",Kayu garang  (Malay),
378,Archidendron microcarpum (Benth.) I.C.Nielsen,Kayu kemudak (Iban),
379,Cinnamomum burmanni Nees ex Blume,Kayu keningau/ Medang tejah (Malay),
380,Diospyros ferox Bakh.,Kayu malam (Iban),
381,Diospyros diepenhorstii Miq.,Kayu malam (Malay),
382,Diospyros elliptifolia Merr.,Kayu malam (Malay),
383,Diospyros korthalsiana Hiern,Kayu malam (Malay),
384,Diospyros macrophylla Blume,Kayu malam (Malay),
385,Diospyros tuberculata Bakh.,Kayu malam (Malay),
386,Diospyros discocalyx Merr.,Kayu malam gajah (Malay),
387,Diospyros evena Bakh.,"Kayu malam paya (Malay), Merpinang daun kecil (Sarawak)",
388,Diospyros confertiflora (Heirn) Bakh.,Kayu malam pinang (Sarawak),
389,Cinnamomum affine ?,Kayu manis (Malay),
390,Cinnamomum camphora T.Nees & Eberm,Kayu manis (Malay),
391,Cinnamomum corneri Kosterm.,Kayu manis (Malay),
392,Cinnamomum kinabaluense Heine,Kayu manis (Malay),
393,"Cinnamomum pendulum Cammerl.
(syn = Cinnamomum microcarpum Kosterm.)",Kayu manis (Malay),
394,Cinnamomum porrectum (Roxb.) Kosterm.,Kayu manis (Malay),
395,Cinnamomum pseudo-javanicum ?,Kayu manis (Malay),
396,Cinnamomum rhyncophyllum Miq.,Kayu manis (Malay),
397,Cinnamomum sintoc Blume,Kayu manis (Malay),
398,"Cinnamomum sintoc Blume
(syn = Cinnamomum coriaceum Cammerloher)",Kayu manis (Malay),
399,Cinnamomum soegengii Kosterm.,Kayu manis (Malay),
400,Cinnamomum subavenium Miq.,Kayu manis (Malay),
401,Cinnamomum subcuneatum Miq.,Kayu manis (Malay),
402,Cinnamomum sublanuginosum Kosterm.,Kayu manis (Malay),
403,"Cinnamomum sublanuginosum Kosterm.
(syn = Cinnamomum woodii Kosterm.)",Kayu manis (Malay),
404,"Cinnamomum tahijanum Kosterm.
(syn = Cinnamomum bintuluense Kosterm.)",Kayu manis (Malay),
405,Cinnamomum racemosum Kosterm.,Kayu manis/ Medang tiga urat (Malay),
406,Phyllocladus hypophyllus Hook.f.,Kayu pelayu (Kelabit),
407,Garcinia maingayi Hook.f. ex T . Anderson,Kayu pul (Kelabit),
408,Nephelium reticulatum Radlk.,Kedabang/Sibau (Iban),
409,Canarium apertum H.J.Lam,Kedondong (Malay),
410,Canarium asperum subsp. asperum var. asperum Benth.,Kedondong (Malay),
411,Canarium caudatum King,Kedondong (Malay),
412,Canarium dichotomum (Blume) Miq.,Kedondong (Malay),
413,Canarium divergens Engl.,Kedondong (Malay),
414,Canarium grandifolium (Ridl.) H.J.Lam,Kedondong (Malay),
415,Canarium hirsutum Willd.,Kedondong (Malay),
416,Canarium kinabaluensisLeenh.,Kedondong (Malay),
417,Canarium kostermansii Leenh.,Kedondong (Malay),
418,Canarium latistipulatum Ridl.,Kedondong (Malay),
419,Canarium littorale Blume,Kedondong (Malay),
420,Canarium megalanthum Merr.,Kedondong (Malay),
421,Canarium pseudodecumanum Hochr.,Kedondong (Malay),
422,Dacryodes costata (A.W.Benn.) H.J.Lam,Kedondong (Malay),
423,Dacryodes elmeri H.J.Lam,Kedondong (Malay),
424,Dacryodes incurvata (Engl.) H.J.Lam,Kedondong (Malay),
425,Dacryodes longifolia (King) H.J.Lam,Kedondong (Malay),
426,Dacryodes rubiginosa (A.W.Benn.) H.J.Lam,Kedondong (Malay),
427,"Spondias dulcis Parkinson
(syn = Evia dulcis (Parkinson) Kosterm.)",Kedondong (Malay),
428,Canarium patentinervium Miq.,"Kedondong (Malay), Dabai (Iban)",
429,Dacryodes rugosa (Blume) H.J.Lam,"Kedondong (Malay), Kemayau (Iban)",
430,Canarium denticulatum Blume,"Kedondong (Malay), Labuno baraok/Lind (Kelabit)",
431,Canarium merrillii H.J.Lam,"Kedondong (Malay), Padulan/Lind (Kelabit)",
432,Triomma malaccensis Hook.f.,Kedondong asam (Malay),
433,Dacryodes laxa (A.W.Benn.) H.J.Lam,Kedondong bulu laxa (Malay),
434,Canarium pilosum A.W.Benn.,Kedondong bulu tangkai pendek (Malay),
435,Canthium umbelligerum Miq.,Kelambukan,
436,Pimelodendron griffithianum (Müll.-Arg.) Benth.,Kelampai sitak (Iban),
437,Sandoricum borneense Miq.,"Kelampu ai (Iban, Sarawak)",
438,Crudia ornata de Wit,"Kelat (Malay), Sansag (Dusun)",
439,Drypetes rhakodiskos (Hassk.) Bakh. f.,Kelekor (Dusun),
440,Elliphanthus tomentosus Kurz subsp. tomentosus var. luzoniensis (Vidal) Leenh.,"Kelin (Melanau, Sarawak)",
441,Lepisanthes senegalensis (Juss. ex Poir.) Leenh.,Kelinga gaba (Dusun),
442,Clethra longispicata J.J.Sm.,Kelintuhan (Dusun),
443,Clethra canescens Reinw. ex Blume var. clementis (Merr.) Sleumer,"Kelintuhan (Dusun), Anor (Kelabit)",
444,Clethra pachyphylla Merr.,"Kelintuhan (Dusun), Anor (Kelabit)",
445,Scaphium affine Pierre,Kembang semangkok,
446,Scaphium macropodum (Miq.) Beumee ex Heine,Kembang semangkok batu,
447,Scaphium longipetiolatum (Kosterm.) Kosterm.,Kembang semangkok jantan,
448,Heritiera simplicifolia (Mast.) Kostermans,Kembang/Mengkulang,
449,Canarium odontophyllum Miq.,Kembayu (Malay),
450,Stemonurus grandifolius Becc.,Kembung (Dusun),
451,Murraya paniculata (L.) Jack,Kemuning (Malay),
452,Carallia borneensis Oliver,Kemuning hutan (Dusun),
453,Teijsmanniodendron sarawakanum (H.H.W.Pearson) Kosterm.,"Kemuning, Keropuk",
454,Xanthophyllum tenue Chodat,"Kemuning, Telingo besing (Dusun)",
455,Garcinia penangiana Pierre,Kendis,
456,Garcinia rostrata Hassk. ex Hook.f.,Kendis,
457,Kayea celciola ?,Kendis,
458,Garcinia bancana Miq.,Kendis (Dusun),
459,Garcinia beccarii Pierre,Kendis (Dusun),
460,"Garcinia brevirostris Scheff.
(syn = Garcinia eugenifolia Wall. ex T.Anderson)",Kendis (Dusun),
461,Garcinia gaudichaudii Planch. & Triana,Kendis (Dusun),
462,Garcinia griffithii T.Anderson,Kendis (Dusun),
463,Garcinia lanceola Ridl.,Kendis (Dusun),
464,Garcinia microcarpa Pierre,Kendis (Dusun),
465,Garcinia microphylla Merr.,Kendis (Dusun),
466,Garcinia miquelii Pierre,Kendis (Dusun),
467,Garcinia multinervia ?,Kendis (Dusun),
468,Garcinia tetragonus ?,Kendis (Dusun),
469,"Garcinia celebica L.
(syn = Garcinia benthamii Pierre)","Kendis (Dusun), Manggis Hutan (Malay)",
470,Garcinia dulcis (Roxb.) Kurz,"Kendis (Dusun), Manggis Hutan (Malay)",
471,Garcinia parvifolia (Miq.) Miq.,"Kendis (Dusun), Manggis Hutan (Malay), Kasi urung (Kelabit), Kandis (Iban)",
472,Alangium javanicum (Blume) Wangerin,Kendolon (Dusun),
473,Xanthophyllum palembanicum Miq.,"Kenining, Lantoi lantoi",
474,Buchanania insignis Blume,Kepala tundang (Malay),
475,Buchanania splendens Miq.,Kepala tundang (Malay),
476,Buchanania arborescens (Blume) Blume,"Kepala tundang (Malay), Otak udang (Malay)",
477,Buchanania sessilifolia Blume,"Kepala tundang tangkai pendek / Rengas bukit (Malay), Terentang cit (Iban)",
478,Pangium edule Reinw.,"Kepayang (Malay), Pangi (Dusun)",
479,Ternstroemia coriacea Wall.,Kepayang payang,
480,Vitex pinnata L.,"Kepengian, Paau (Dusun Bundu Tuhan), Kulimpapa (Dusun), Kayu upa (Kelabit), Kepapa (Iban)",
481,Dialium indum L.,"Keranji (Malay), Engkeranji (Iban)",
482,Santiria apiculata A.W.Benn.,Kerantai (Malay),
483,Santiria conferta A.W.Benn,Kerantai (Malay),
484,Santiria griffithii (Hook.f.) Engl.,Kerantai (Malay),
485,Santiria kalkmaniana Kochummen,Kerantai (Malay),
486,Santiria laevigata Blume,Kerantai (Malay),
487,Santiria megaphylla Kalkman,Kerantai (Malay),
488,Santiria mollis Engl.,Kerantai (Malay),
489,Santiria oblongifolia Blume,Kerantai (Malay),
490,Santiria rubiginosa Bulme,Kerantai (Malay),
491,Santiria tomentosa Blume,"Kerantai (Malay), Merambang daun besai (Iban)",
492,Flacourtia jangomas Raeusch.,"Kerkup besar (Malay), Katong, Terukakang (Dusun)",
493,Diplodiscus longifolius (Merr.) Burret,Kerodong,
494,Microcos fibrocarpa Burret,Kerodong,
495,Microcos pachyphylla Merr.,Kerodong,
496,Diplodiscus parviflorus Kosterm.,"Kerodong, Polodong",
497,Microcos hirsuta Burret,"Kerodong, Ronton ronton (Kadazan)",
498,Microcos crassifolia Burnman f.,Kerodong/ Damak damak (Malay),
499,Dipterocarpus tempehes Slooten,Keruing asam (Malay),
500,Dipterocarpus grandiflorus (Blanco) Blanco,Keruing belimbing (Malay),
501,Dipterocarpus conformis subsp. borneensis P.S.Ashton,Keruing beludu kuning (Malay),
502,Dipterocarpus stellatus Vesque subsp. parvus P.S.Ashton,Keruing bulu (Malay),
503,Dipterocarpus applanatus Slooten,Keruing daun besar (Malay),
504,Dipterocarpus pachyphyllus Meijer,Keruing daun tebal (Malay),
505,Dipterocarpus caudatus subsp. penangianus (Foxw.) P.S.Ashton,"Keruing gasing (Malay, in Sarawak)",
506,Dipterocarpus kerrii King,Keruing gondol (Malay),
507,Dipterocarpus lamellatus Hook.f.,Keruing jarang (Malay),
508,Dipterocarpus validus Blume,Keruing kasugoi (Malay),
509,Dipterocarpus humeratus Slooten,Keruing kerukup (Malay),
510,Dipterocarpus hasseltii Blume,Keruing kerukup kecil (Malay),
511,Dipterocarpus sublamellatus Foxw.,Keruing kerut (Malay),
512,Dipterocarpus gracilis Blume,Keruing kesat (Malay),
513,Dipterocarpus costulatus Slooten,Keruing kipas (Malay),
514,Dipterocarpus confertus Slooten,Keruing kobis (Malay),
515,Dipterocarpus elongatus Korth.,"Keruing latek (in Sarawak), Ran (Iban)",
516,Dipterocarpus crinitus Dyer,Keruing mempelas (Malay),
517,Dipterocarpus verrucosus Foxw. ex Slooten,Keruing merah (Malay),
518,Dipterocarpus acutangulus Vesque,Keruing merkah (Malay),
519,Dipterocarpus oblongifolius Blume,Keruing neram (Malay),
520,Dipterocarpus palembanicus subsp. borneensis P.S.Ashton,Keruing palembang (Malay),
521,Dipterocarpus caudiferus Merr.,Keruing putih (Malay),
522,Dipterocarpus ochraceus Meijer,Keruing ranau (Malay),
523,Dipterocarpus kunstleri King,Keruing rapak (Malay),
524,Dipterocarpus lowii Hook.f.,Keruing sol/shol (Malay),
525,Dipterocarpus geniculatus Vesque subsp. grandis P.S.Ashton,Keruing tangkai panjang (Malay),
526,Heliciopsis artocarpoides (Elmer) Sleumer,Kerungguon (Dusun),
527,Madhuca daemonica (van den Assem) Yii & P.Chai,"Ketiau hantu (Malay?, Sarawak)",
528,Madhuca motleyana (de Vriese) J.F.Macbr.,Ketiau paya (Malay),
529,Paranephelium joannis Davids,"Kiah (Iban, Sarawak)",
530,"Ixora grandifolia Zoll. & Moritzi
(syn = Ixora elliptica R.Br. ex Wall. & Ridl.)",Kiam,
531,Atuna racemosa Rafin.,Kilas (Malay),
532,Antidesma leucopodum Miq.,"Kilas perempuan (Malay), Berenai (Iban)",
533,Koilodepas brevipes Airy Shaw,Kilas/ Kepala lipas (Malay),
534,Koilodepas hainanense ?,Kilas/ Kepala lipas (Malay),
535,Koilodepas longifolium ?,Kilas/ Kepala lipas (Malay),
536,Koilodepas pectinatum Airy Shaw,Kilas/ Kepala lipas (Malay),
537,Koilodepas laevigatum Airy Shaw,"Kilas/ Kepala lipas (Malay), Buti (Iban)",
538,Crypteronia paniculata var. paniculata Blume,"Kingkidon mentuk (Dusun), Beliok (Kelabit)",
539,Castanopsis buruana Miq.,Kogopon (Dusun),
540,Castanopsis clemensii Soepadmo,Kogopon (Dusun),
541,Castanopsis microphylla Soepadmo,Kogopon (Dusun),
542,Theobroma cacao L.,Koko,
543,Ixora stenothyrsa Bremekamp,Kon (Dusun Banggi),
544,Coffea arabica L.,Kopi,
545,Diplospora malaccense Hook.f.,Kopi kopi,
546,"Discospermum abnorme (Korth.) S.J.Ali & Robbr.
(syn = Diplospora singularis Kurz)",Kopi kopi,
547,Discospermum javanicum (Miq.) Kuntze,Kopi kopi,
548,Urophyllum arboreum (Reinw. ex Blume) Korth.,Kopi kopi,
549,"Urophyllum pilosum Ridl.
(syn = Pleiocarpidia pilosa (Ridl.) Bremekamp)",Kopi kopi,
550,Chassalia curviflora (Wall.) Deb & B.Krishna,"Kopi kopi (tidong), Jatum hitam (Malay), Rupali (Dusun Banggi)",
551,Aglaia argentea Blume,"Koping-koping, Lentupak (Dusun)",
552,"Grewia ossea (Burret) Stapf ex P.S.Ashton
(syn = Microcos ossea Burret)",Korodong (Dusun KBTGN),
553,Microcos pearsonii Burret,Korodong (Dusun KBTGN),
554,Microcos reticulata Ridl.,Korodong (Dusun KBTGN),
555,Pentace borneensis Pierre,"Korodong, Takalis",
556,Ixora otophora Bremekamp,Kosigui,
557,Microcos antidesmifolia Burret,"Kuiudong, Bunsi (Iban), Kerodong",
558,Baccaurea costulata Müll.-Arg.,Kulangi (Dusun),
559,"Vitex pinnata L.
(syn = Vitex pubescens Vahl)",Kulimpapa,
560,Vitex quinata F.N.Williams,"Kulimpapa, Paau",
561,Myristica elliptica Wall. ex Hook.f. & Thomson,Kumpang samak (Iban),
562,Baccaurea minor Hook.f.,Kunau-kunau (Malay),
563,"Baccaurea odoratissima Elmer
(syn = Baccaurea membranacea Pax & K.Hoffm.)",Kunau-kunau (Malay),
564,Baccaurea sarawakensis Pax & K.Hoffm.,Kunau-kunau (Malay),
565,"Baccaurea tetrandra (Baill.) Müll.Arg.
(syn = Baccaurea stipulata J.J.Sm.)",Kunau-kunau (Malay),
566,Bouea oppositifolia (Roxb.) Meisn.,"Kundang (Malay), Kundang rumenia (Malay)",
567,"Bouea oppositifolia (Roxb.) Adelb.
(syn = Bouea gandaria Blume)",Kundangan (Malay),
568,Casearia rugulosa Blume,Kundawok,
569,Archidendron triplinervium (Kosterm.) I.C.Nielsen,Kungkur (Dusun?),
570,Albizia splendens Miq.,Kungkur (Malay),
571,Paraserianthes splendens* ?,Kungkur (Malay),
572,Elaeocarpus stipularis Blume,"Kungkurad (Dusun), Itan beruang (Kelabit)",
573,Parkia timoriana (DC.) Merr.,Kupang (Malay),
574,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,Kupang (Malay),
575,Albizia kostermansii I.C.Nielsen,"Kupung, Petai Hutan (Malay)",
576,"Xanthophyllum flavescens Roxb.
(syn = Xanthophyllum affine Korth. ex Miq.)","Kurek kurek (Dusun KBTGN), Tampasak (Dusun), Minyak Beruk (Malay)",
577,Aralidium pinnatifidum (Jungh. & de Vriese),Kuruggu (Dusun),
578,Helicia fuscotomentosa Suesseng,Kuruggu (Dusun),
579,Helicia petiolaris Benn.,Kurungu (Dusun),
580,"Bridelia insulana Hance
(syn = Bridelia penangiana Hook.f.)",Kutang-kutang/ Kuretam hutan (Malay),
581,Mangifera odorata Griff.,"Kwini (Malay), Huani (Malay)",
582,Turpinia borneensis (Merr. & Perry) B.L.Linden,"Laba (Iban, Sarawak)",
583,Aglaia macrocarpa (Miq.) C.M.Parnell,Labuno buda (Kelabit),
584,Aglaia korthalsii Miq.,Labuno siah (Kelabit),
585,Litchi chinensis subsp. chinensis Sonn.,Laici (Malay),
586,Phyllanthus emblica L.,Laka (Malay),
587,Ixora fucosa Bremekamp,"Lalambai, Kiam",
588,Tabernaemontana pauciflora Blume,Lampada (Dusun),
589,Gymnacranthera contracta Warb.,Lanau (Dusun),
590,Scyphiphora hydrophyllacea Gaertn.,"Landing-landing, Geriting Putih",
591,Aegiceras corniculatum Blanco,"Landing landing, Saka Mata, Api api",
592,Barringtonia pendula (Griff.) Kurz,Langkong (in Sarawak),
593,Aglaia odoratissima Benth.,Langsat-langsat (Malay),
594,"Lansium parasiticum (Osbeck) K.C.Sahni & Bennet
(syn = Lansium domesticum Corner)",Langsat (Malay),
595,Timonius lasianthoides Valeton,"Langsieh (Kelabit), Meluduk (Iban)",
596,Dysoxylum arborescens Miq.,Lantupak (Malay),
597,Walsura pachycaulon Mabberley ex T.P.Clark,Lantupak mata kucing (Malay),
598,"Grewia laevigata Vahl
(syn = Grewia acuminata Juss.)",Lapion,
599,Neolamarckia cadamba (Roxb.) Miq.,"Laran (Dusun?), Kelampayan (Iban), Ta'ap (Kelabit)",
600,Saurauia borneensis**,Laugang,
601,Cinnamomum mercadoi Vidal,Lawang (Malay?),
602,Parishia maingayi Hook.f.,Layang-layang (Malay),
603,Parishia sericea Ridl.,Layang-layang (Malay),
604,Parishia insignis Hook.f.,Layang-layang / Kayu sepak (Malay),
605,Adinandra acuminata Korth.,Legai (Iban),
606,Symplocos pendula Wight var. hirtistylis (C.B.Clarke) Noot.,Legai (Iban),
607,"Nageia wallichiana (C.Presl) Kuntze
(syn = Podocarpus blumei Endl.)",Lempias,
608,Anaxagorea borneensis Blume,Lempiu (Dusun),
609,Anaxagorea javanica Blume,Lempiu (Dusun),
610,Horsfieldia irya (Gaertn.) Warb.,Lempoyang paya (Malay),
611,Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.,"Lenggadai (Malay), Lanjing lanjing (Kedayan)",
612,Illicium kinabaluense A.C.Sm.,Lengunan (Dusun),
613,"Aglaia edulis (Roxb.) Wall.
(syn = Aglaia sulingi Blume)",Lentupak,
614,Chisocheton erythrocarpus Hiern,"Lentupak buah besar, Gapas",
615,Aglaia elliptica Blume,"Lentupak bunahau (Dusun), Segera (Iban)",
616,Pleiospermium longisepalum Swingle,Limau-limau/ Limau hutan (Malay),
617,Scleropyrum wallichianum (Wight & Arn. ) Arn. ( syn = Scleropyrum pentandrum (Dennst.) Mabb.),Limau antu/Mata munsang (Iban),
618,Merope angulata (Willd.) Swingle,Limau buaya/ Limau laut (Malay),
619,Citrus macroptera var. macroptera Montr.,Limau hantu (Malay),
620,Pleiospermium latialatum Swingle,Limau hantu (Malay),
621,Citrus halimii Stoone,Limau hutan (Malay),
622,Citrus microcarpa Bunge,Limau kasturi (Malay),
623,Citrus aurantifolia (Christm. & Panz.) Swingle,"Limau nipis/ Limau asam (Malay), Buyo padi (Kelabit), Iban (Janting gerunung)",
624,"Citrus swinglei Burkill ex Harms
(syn = Fortunella polyandra (Ridl.) Tanaka)",Limau pagar/ Limau cina (Malay),
625,Citrus hystrix DC.,Limau purut (Malay),
626,Citrus medica L.,Limau susu (Malay),
627,Toona sureni Merr.,Limpaga (Dusun),
628,Baccaurea lanceolata (Miq.) Müll.-Arg.,"Limpaung/ Lipodsu (Dusun), Lapauh (Iban)",
629,Xylosoma sumatranum Slooten,"Linau, Tarukakang (Dusun)",
630,Litsea cubeba (Lour.) Pers.,Lindos (Dusun),
631,Kandelia candel (L.) Druce,"Linggayong (Malay, Brunei), Berus berus (Malay)",
632,Macaranga tanarius (L.) Müll.-Arg.,Linkabong (Dusun),
633,Macaranga brevipetiolata Pax ex Hoffm.,"Linkabong (Dusun), Mirrir (Kelabit)",
634,Decaspermum fruticosum J.R.Forst. & G.Forst.,Lipat/Libu (Kelabit),
635,Symplocos odoratissima var. odoratissima (Blume) Choisy ex Zoll.,Lisang (Dusun),
636,Symplocos ophirensis C.B.Clarke subsp. cumingiana (Brand) Noot.,Loboh,
637,Croton oblongus Burnman f.,Lokon,
638,Guioa bijuga (Hiern) Radlk.,"Lokud-lokud (Murut), Tinggal asam (Murut Tenom)",
639,Harpullia cupanioides Roxb.,"Lokud (Dusun), Mampongoh (Murut)",
640,Xanthophyllum subcoriaceum (Chodat) Meijden,Lomuning,
641,Saurauia actinidifolia**,Longungan (Dusun Ranau),
642,Macaranga hosei King ex Hook.f.,Lopokan,
643,Homalanthus caloneurus Airy Shaw,Ludai (Dusun),
644,Homalanthus populneus (Geisel.) Pax,"Ludai (Dusun), Taggang lau (Kelabit)",
645,Hopea latifolia Symington,"Luis daun bulat (in Sarawak), Selangan jongkang (Malay)",
646,Hopea altocollina P.S.Ashton,Luis gunung (in Sarawak),
647,Hopea griffithii Kurz,Luis jantan (in Sarawak),
648,Hopea kerangasensis P.S.Ashton,Luis kerangas (in Sarawak),
649,Ardisia megistosepala Merr.,Lumbi lumbi (Kadazan),
650,Shorea richetia Symington,Lun melapi (in Sarawak),
651,Shorea longiflora (Brandis) Symington,Lun paya (in Sarawak),
652,Saurauia tristyla**,Lungungan,
653,Ficus androchaete Corner,"Lunok (Murut), Punuh ta'o (Kelabit)",
654,Symplocos cerasifolia Wall. ex A.DC.,Madang (Malay),
655,Adinandra cordifolia Ridl.,Madang pasir,
656,Cleistanthus praetermissus Gags,"Magambuhut (Dusun), Kemuning hutan (Malay)",
657,Duabanga moluccana Blume,"Magas (Kadazan), Arar (Kelabit), Kayu sawi (Iban), binuang (Malay)",
658,"Garcinia nervosa Miq.
(syn = Garcinia andersonii Hook.f. ex T .Anderson)",Maggusta?,
659,Swietenia macrophylla King,Mahogani (Malay),
660,Crudia subsimplicifolia Merr.,"Maid-maid, Sarason",
661,"Bungarimba sessiliflora (Ridl.) K.M.Wong
(syn = Porterandia sessiliflora Ridl.)",Majitap,
662,Styphelia malayana var. malayana (Jack) Spreng.,"Maki cina (Malay, Sarawak), Melamut (Iban, Sarawak)",
663,Chionanthus curvicarpus Kiew,Makulat (Dusun),
664,Potoxylon malagangai (Sym.) Kosterm.,Malangangai (Malay),
665,Mallotus paniculatus (Lam.) Müll.-Arg.,Malatus balakan (Malay),
666,Mallotus lackeyi Elmer,Malatus binumbong (Malay),
667,Mallotus macrostachyus (Miq.) Müll.-Arg.,Malatus dau (Malay),
668,"Hancea penangensis (Müll.Arg.) S.E.C.Sierra, Kulju & Welzen
(syn = Mallotus penangensis Müll.-Arg.)",Malatus kemenyan (Malay),
669,Mallotus miquelianus (Scheff.) Pax & K. Hoffm.,Malatus kering (Malay),
670,Mallotus floribundus (Blume) Müll.-Arg.,Malatus marambokan (Malay),
671,Mallotus korthalsii Müll.-Arg.,Malatus minumbong (Malay),
672,Mallotus muticus (Müll.-Arg.) Airy Shaw,"Malatus paya (Malay), Selung apid",
673,Mallotus phillippensis (Lam.) Müll.-Arg.,Malatus rambai kuching (Malay),
674,Mallotus wrayi King ex Hook.f.,"Malatus sagar-sagar (Malay), Retih (Iban)",
675,Leea angulata Korth. ex Miq.,"Mali-mali (Malay), Togumamali (Dusun Kinabatangan)",
676,Wendlandia paniculata (Roxb.) DC.,"Malitap bukit, Posidila (Dusun Bundu Tuhan)",
677,Quassia borneensis Noot.,"Mamunggal (Malay), Pait pait (Malay)",
678,Madhuca dubardii H.J.Lam,Manatu (Dusun),
679,Leucosyke capitellata (Poir) Wedd.,"Mandahasi (Dusun), Lakutu (Kelabit), Kamutu (Iban)",
680,Parastemon urophyllus (Wall. ex A.DC.) A.DC.,Mandailas (Dusun),
681,Garcinia caudiculata Ridl.,Manggis (Malay),
682,Garcinia mangostana L.,"Manggis (Malay), Kitung (Kelabit)",
683,Garcinia ramiflora ?,Manggis / Kandis,
684,Garcinia nervosa Miq.,Manggis hutan,
685,Garcinia cf. nigrolineata Planch. ex T.Anderson,Manggis hutan (Malay),
686,Kayea connata ?,Manggis Hutan/ Keya/ Bintangor Batu,
687,Aidia borneensis C.E.Ridsdale,Mangkalait,
688,Discospermum abnorme (Korth.) S.J.Ali & Robbr.,"Mangkalait, Kemuning, Karankiu, Kopi kopi",
689,Bridelia glauca Blume,"Manik-manik (Malay), Meretanak (Iban)",
690,Pongamia pinnata (L.) Pierre,Marabahai,
691,Alangium kurzii Craib,Marapangi (Dusun),
692,Alangium rotundifolium (Hassk.) Bloemb.,Marapangi (Dusun),
693,Endospermum peltatum Merr.,Marapangi (Dusun),
694,Bruguiera sexangula (Lour.) Poir,Mata buaya (Malay),
695,Dimocarpus longan Lour.,"Mata kucing (Malay), Bubpu/Ejau (Kelabit), Kakus (Iban)",
696,Walsura pinnata Hassk.,Mata kucing kalat (Malay),
697,Baccaurea racemosa (Reinw.) Müll.-Arg.,"Mata kunau (Malay), Jangka labi (Iban)",
698,Kokoona leucoclada Kochummen,Mata ulat (Malay),
699,Kokoona littoralis Laws.,Mata ulat (Malay),
700,Kokoona ovatolanceolata Ridl.,Mata ulat (Malay),
701,Kokoona reflexa (Laws.) Ding Hou,Mata ulat (Malay),
702,Kokoona sabahana Kochummen,Mata ulat (Malay),
703,Kokoona ochracea (Elmer) Merr.,Mata ulat/ Perupok kuning (Malay),
704,Brownlowia stipulata Kosterm.,"Matangu (Chinese), Maya sayap (Kadazan), Takalis Daun Besar",
705,Diplospora tinagoensis (Elmer) S.J.Ali & Robbr.,Mato gipan (Dusun RNU),
706,Persea endothrix Kosterm.,Medamg (Malay),
707,Alseodaphne montana Kosterm.,Medang (Malay),
708,Alseodaphne obovata Kosterm.,Medang (Malay),
709,Beilschmiedia kinabaluensis Kosterm.,Medang (Malay),
710,Beilschmiedia pilosa Kosterm.,Medang (Malay),
711,Caryodaphnopsis tonkinensis (Lecomte) Airy Shaw,Medang (Malay),
712,Cryptocarya acutifolia H.W.Li,Medang (Malay),
713,Cryptocarya densiflora Blume,Medang (Malay),
714,Cryptocarya ferrea (Kosterm.) Ng,Medang (Malay),
715,Cryptocarya griffithiana Wight,Medang (Malay),
716,Cryptocarya longipaniculata Gamble,Medang (Malay),
717,Cryptocarya nitens (Blume) Koord. & Valeton,Medang (Malay),
718,"Cryptocarya nitens (Blume) Koord. & Valeton
(syn = Cryptocarya areolata Gamble)",Medang (Malay),
719,Cryptocarya obliqua Blume,Medang (Malay),
720,Cryptocarya teysmanniana Miq.,Medang (Malay),
721,Dehaasia brachybotrys (Merr.) Kosterm.,Medang (Malay),
722,Dehaasia caesia Blume,Medang (Malay),
723,Dehaasia corynantha Kosterm.,Medang (Malay),
724,Dehaasia cuneata (Blume) Blume,Medang (Malay),
725,Dehaasia firma Blume,Medang (Malay),
726,Dehaasia gigantocarpa Kosterm.,Medang (Malay),
727,"Dehaasia incrassata (Jack) Kosterm.
(syn=Dehaasia media Blume)",Medang (Malay),
